year,sex,q_0025,q_0500,q_0975
1980,male,-1.02725995779458,-0.0610644234107144,0.932834617903559
1981,female,-1.38543839064758,0.072678327325549,1.68438253168278
1981,male,-0.911062367052643,-0.166835202923424,1.05409514739003
1982,female,-1.81509946009566,-0.264730155118921,1.18330334107003
1982,male,-1.10295557482459,-0.0362713917985149,1.02079405803818
1983,female,-1.45566762370065,0.0125740875326468,1.24518306405606
1983,male,-0.920446854610241,-0.0188280625692867,1.09707631816518
1984,female,-0.967841523150174,-0.0606591568144237,1.08047247387993
1984,male,-0.989579590580354,0.0825187977807522,1.4333419115404
1985,female,-1.13625962552309,-0.075469226526551,1.17161868670123
1985,male,-1.38565286041418,-0.0876628045014636,0.735091531605932
1986,female,-1.26305732965811,-0.0870956697427754,1.16636983521224
1986,male,-1.20009599980943,-0.059524953466655,1.2713074316215
1987,female,-1.10490364407162,0.0542315926182917,1.18612386834955
1987,male,-1.22934643921808,-0.114092548765901,0.972010837764921
1988,female,-0.971051909168761,0.0643174271100581,0.843252142457462
1988,male,-0.944837347369489,-0.0537850429072456,1.41083207355016
1989,female,-1.2070194481369,0.0975841953630872,1.35032376578182
1989,male,-0.867067879730828,0.0117621978840737,1.11040710955308
1990,female,-1.35644833330204,-0.136397996133509,1.09707069633009
1990,male,-1.08085840611757,-0.116464301587841,0.98373861804115
1991,female,-1.11620847932151,-0.0336886294731071,0.990254503106324
1991,male,-0.935863804867497,0.0290442072757331,1.09084172387338
1992,female,-1.26989752301112,-0.0936937295159465,1.13241909421953
1992,male,-0.931048787502086,-0.160035227119133,0.822037764861271
1993,female,-1.25020640776048,0.0177017695984402,0.983466141536852
1993,male,-0.845545815759977,-0.142916484491987,1.10178618081523
1994,female,-0.836028565248935,0.100964774268363,1.17585990904817
1994,male,-1.38288425618184,0.0308888381582323,1.11847403369472
1995,female,-1.48084371278993,-0.074817910376267,1.01945337358808
1995,male,-0.959132646732579,-0.13986881619216,0.968577383709674
1996,female,-1.23676021077742,0.0246751106230293,1.13193643252
1996,male,-0.965803117798499,-0.120824897857449,0.68973644005139
1997,female,-1.26462466114742,0.0181723635543576,1.02786516750036
1997,male,-1.01634443319311,-0.0239493508100811,1.4340786385733
1998,female,-1.0278624557035,0.0742717263012003,1.1276240567139
1998,male,-1.21656892545806,-0.0813865796238258,1.16039933930631
1999,female,-1.18609164773475,-0.114992383128702,1.61282523812867
1999,male,-1.17748021865314,-0.000849969835166164,1.24035007715535
2000,female,-1.43558407859114,0.0671088331735468,1.40220408921545
2000,male,-1.21631291360977,-0.18813413905523,1.07799480750284
2001,female,-1.282031754692,0.170031626670889,1.38790851250121
2001,male,-1.33942532643888,-0.0316581030411187,1.03525058921265
2002,female,-1.06949906796117,-0.0641529703323278,1.05481304975138
2002,male,-0.952296953984537,0.209327289811198,1.58862415685091
2003,female,-1.22101373821724,0.207425262598755,1.33324026448898
2003,male,-1.16232087816939,-0.172814328500087,1.26951839099975
2004,female,-1.49998250848744,0.0685523384158322,1.24474570605946
2004,male,-1.65002909002616,0.103099563493126,1.63219663052657
2005,female,-1.47392520398846,0.142660118424395,1.65917356517343
2005,male,-1.03743694670986,0.0843566598919416,2.01925235525215
2006,female,-1.22611405308843,0.146726953452157,1.32014950972617
2006,male,-1.76449361608274,0.107144926786996,1.41395203989875
2007,female,-1.01866119851562,0.262249395154511,1.18103254964006
2007,male,-1.6900866388904,0.129867721523151,1.622346338186
2008,female,-0.745126440135176,0.197086595306173,1.34745250878279
2008,male,-1.35139150372786,-0.000688457152668409,1.47903089123056
2009,female,-1.29433179319524,0.191820338095535,1.27931238663147
2009,male,-1.15241193119501,0.0246415927037544,1.25828069756966
2010,female,-1.58396808166163,0.0269446772015458,1.55185272801184
2010,male,-1.15028068202072,0.0795739123991925,2.07742341202504
2011,female,-1.5622591784497,0.0347182492968861,1.51060366326465
2011,male,-0.971562479606674,0.265045620651994,2.30237520144042
2012,female,-1.06655672279795,0.306907140646057,1.66082402547575
2012,male,-1.14693880259463,-0.260500337562832,1.56906503842287
2013,female,-1.31710488994793,0.155621787221595,1.50911817025928
2013,male,-1.64032399737893,0.265318064774147,1.699773879173
2014,female,-1.5473856270851,0.428971429342948,1.37787568596538
2014,male,-1.19452247510579,0.214621428487291,1.66730129665015
2015,female,-0.896597628516082,0.482305563900994,1.33067621496408
2015,male,-1.34683391802865,0.314236130855474,2.31387748533737
2016,female,-0.63434509840843,0.253886893577935,1.18502269938241
2016,male,-1.06106922037171,0.0372020035331033,1.59087631971502
2017,female,-0.914990182102825,0.248663867716984,2.16738280545673
2017,male,-1.63161591402649,-0.0821747142422886,1.71497964426011
2018,female,-1.11606166275065,0.354259266515479,1.7353543567738
2018,male,-0.998253574357175,0.208169587652343,2.6745187643447
2019,female,-1.43555859032768,-0.00640587275842286,2.21007014237747
2019,male,-1.3268894508589,0.507187673253596,2.09700558261636
2020,female,-1.33298094499346,0.215360813237504,1.33630020795104
2020,male,-1.88310431696588,-0.0796547149666278,1.23841989779938
2021,female,-1.09873206965085,0.0356550310515829,1.58315297871157
2021,male,-1.10050539755263,-0.122907606798566,1.10423339785285
